1;40.00;50.00;0.00;0.00;960.00;0.00
2;25.00;85.00;20.00;431.00;911.00;10.00
3;22.00;75.00;30.00;30.00;510.00;10.00
4;22.00;85.00;10.00;291.00;771.00;10.00
5;20.00;80.00;40.00;674.00;734.00;10.00
6;20.00;85.00;20.00;40.00;520.00;10.00
7;18.00;75.00;20.00;393.00;502.00;10.00
8;15.00;75.00;20.00;120.00;600.00;10.00
9;15.00;80.00;10.00;397.00;457.00;10.00
10;10.00;35.00;20.00;401.00;461.00;10.00
11;10.00;40.00;30.00;535.00;622.00;10.00
12;8.00;40.00;40.00;225.00;285.00;10.00
13;8.00;45.00;20.00;43.00;523.00;10.00
14;5.00;35.00;10.00;683.00;743.00;10.00
15;5.00;45.00;10.00;35.00;366.00;10.00
16;2.00;40.00;20.00;204.00;264.00;10.00
17;0.00;40.00;20.00;204.00;425.00;10.00
18;0.00;45.00;20.00;698.00;827.00;10.00
19;44.00;5.00;20.00;306.00;483.00;10.00
20;42.00;10.00;40.00;199.00;428.00;10.00
21;42.00;15.00;10.00;494.00;699.00;10.00
22;40.00;5.00;10.00;45.00;525.00;10.00
23;40.00;15.00;40.00;383.00;486.00;10.00
24;38.00;5.00;30.00;231.00;291.00;10.00
25;38.00;15.00;10.00;609.00;872.00;10.00
26;35.00;5.00;20.00;821.00;881.00;10.00
