1;40.00;50.00;0.00;0.00;240.00;0.00
2;25.00;85.00;20.00;49.00;191.00;10.00
3;22.00;75.00;30.00;30.00;168.00;10.00
4;22.00;85.00;10.00;95.00;152.00;10.00
5;20.00;80.00;40.00;69.00;193.00;10.00
6;20.00;85.00;20.00;40.00;189.00;10.00
7;18.00;75.00;20.00;60.00;159.00;10.00
8;15.00;75.00;20.00;54.00;133.00;10.00
9;15.00;80.00;10.00;67.00;144.00;10.00
10;10.00;35.00;20.00;57.00;154.00;10.00
11;10.00;40.00;30.00;106.00;161.00;10.00
12;8.00;40.00;40.00;33.00;152.00;10.00
13;8.00;45.00;20.00;32.00;148.00;10.00
14;5.00;35.00;10.00;53.00;191.00;10.00
15;5.00;45.00;10.00;35.00;194.00;10.00
16;2.00;40.00;20.00;39.00;163.00;10.00
17;0.00;40.00;20.00;41.00;141.00;10.00
18;0.00;45.00;20.00;51.00;189.00;10.00
19;44.00;5.00;20.00;73.00;130.00;10.00
20;42.00;10.00;40.00;40.00;148.00;10.00
21;42.00;15.00;10.00;94.00;179.00;10.00
22;40.00;5.00;10.00;45.00;161.00;10.00
23;40.00;15.00;40.00;64.00;149.00;10.00
24;38.00;5.00;30.00;45.00;164.00;10.00
25;38.00;15.00;10.00;51.00;194.00;10.00
26;35.00;5.00;20.00;45.00;183.00;10.00
