1;40.00;50.00;0.00;0.00;1236.00;0.00
2;45.00;68.00;10.00;830.00;1049.00;90.00
3;45.00;70.00;30.00;756.00;939.00;90.00
4;42.00;66.00;10.00;16.00;336.00;90.00
5;42.00;68.00;10.00;643.00;866.00;90.00
6;42.00;65.00;10.00;15.00;226.00;90.00
7;40.00;69.00;20.00;499.00;824.00;90.00
8;40.00;66.00;20.00;87.00;308.00;90.00
9;38.00;68.00;20.00;150.00;429.00;90.00
10;38.00;70.00;10.00;429.00;710.00;90.00
11;35.00;66.00;10.00;279.00;488.00;90.00
12;35.00;69.00;10.00;363.00;590.00;90.00
13;25.00;85.00;20.00;547.00;826.00;90.00
14;22.00;75.00;30.00;30.00;280.00;90.00
15;22.00;85.00;10.00;489.00;698.00;90.00
16;20.00;80.00;40.00;318.00;495.00;90.00
17;20.00;85.00;40.00;394.00;609.00;90.00
18;18.00;75.00;20.00;33.00;226.00;90.00
19;15.00;75.00;20.00;68.00;365.00;90.00
20;15.00;80.00;10.00;176.00;447.00;90.00
21;30.00;50.00;10.00;10.00;265.00;90.00
22;30.00;52.00;20.00;836.00;1043.00;90.00
23;28.00;52.00;20.00;704.00;991.00;90.00
24;28.00;55.00;10.00;664.00;845.00;90.00
25;25.00;50.00;10.00;15.00;333.00;90.00
26;25.00;52.00;40.00;88.00;305.00;90.00
